Título,URL,Copete,Sección
Nico Occhiato y Flor Jazmín anunciaron su casamiento: todos los detalles,/espectaculos/2024-5-17-16-30-0-nico-occhiato-y-flor-jazmin-anunciaron-su-casamiento-todos-los-detalles,Esta mañana hubo una manifestación en la Fiscalía para pedir la condena máxima para los involucrados en el aberrante suceso.,Espectáculos
El último concierto,/espectaculos/2024-5-20-11-45-0-el-ultimo-concierto,Esta mañana hubo una manifestación en la Fiscalía para pedir la condena máxima para los involucrados en el aberrante suceso.,Espectáculos
¿Por qué apareció el nombre de Nicolás Francella tras la ruptura de Emilia Attias y el Turco Naim,/espectaculos/2024-5-18-11-2-0-por-que-aparecio-el-nombre-de-nicolas-francella-tras-la-ruptura-de-emilia-attias-y-el-turco-naim,Esta mañana hubo una manifestación en la Fiscalía para pedir la condena máxima para los involucrados en el aberrante suceso.,Deportes
"Quién es Lorena Bernal, la tucumana que enamoró al DT del Arsenal",/deportes/2024-5-18-10-39-0-quien-es-lorena-bernal-la-tucumana-que-enamoro-al-dt-del-arsenal,Esta mañana hubo una manifestación en la Fiscalía para pedir la condena máxima para los involucrados en el aberrante suceso.,Policiales
Familiares y amigos piden justicia por el joven asesinado el fin de semana en Rosario de la Frontera,/policiales/2024-5-20-14-35-0-familiares-y-amigos-piden-justicia-por-el-joven-asesinado-el-fin-de-semana-en-rosario-de-la-frontera,Esta mañana hubo una manifestación en la Fiscalía para pedir la condena máxima para los involucrados en el aberrante suceso.,Policiales
Volcó un camión que transportaba bolsas de cemento en la ruta 9/34,/policiales/2024-5-20-14-4-0-volco-un-camion-que-transportaba-bolsas-de-cemento-en-la-ruta-9-34,"Diego Ruiz, presidente del grupo empresario del ingenio, adelantó que se espera una molienda de 700 toneladas por hectárea en esta séptima Zafra.",Policiales
Detienen en Santiago un camión con más de 60 kilos de cocaína con el sello del clan Castedo que había partido de Salta,/policiales/2024-5-20-13-30-0-detienen-en-santiago-del-estero-un-camion-del-clan-castedo-con-mas-de-60-kilos-de-cocaina-que-habia-partido-de-salta,"Diego Ruiz, presidente del grupo empresario del ingenio, adelantó que se espera una molienda de 700 toneladas por hectárea en esta séptima Zafra.",Policiales
Dos detenidos por el doble homicidio de Colonia Santa Rosa,/policiales/2024-5-20-12-58-0-dos-detenidos-por-el-doble-homicidio-de-colonia-santa-rosa,"Diego Ruiz, presidente del grupo empresario del ingenio, adelantó que se espera una molienda de 700 toneladas por hectárea en esta séptima Zafra.",Policiales
Nena fue abusada por su padre y quedó embarazada,/policiales/2024-5-20-12-39-0-nena-fue-abusada-por-su-padre-y-quedo-embarazada,"Diego Ruiz, presidente del grupo empresario del ingenio, adelantó que se espera una molienda de 700 toneladas por hectárea en esta séptima Zafra.",Minería
El hermoso valle de Lesser,/opiniones/2024-5-20-0-0-0-el-hermoso-valle-de-lesser,"Diego Ruiz, presidente del grupo empresario del ingenio, adelantó que se espera una molienda de 700 toneladas por hectárea en esta séptima Zafra.",Minería
